"Order #","Customer Name","Customer Email","Customer Contact","Charity Name","Total Price","Payment Status","Order Status",Date
340,"Ali Sarkar",alisarkar@gmail.com,03224928579,"Islamic Relief",48.99,Paid,Unfullfilled,"2022-02-07 12:47:50"
339,"ali hassan",aliahmed@gmail.com,03245646464,"Islamic Relief",58.99,Paid,Completed,"2022-02-04 21:42:56"
338,"Talal Ghauri",testingfromcheckoutregister@gmail.com,03224928579,"Islamic Relief",41,Paid,Unfullfilled,"2022-02-04 21:39:41"
337,"testing from checkout register",testingfromcheckoutregister@gmail.com,03224928579,"Islamic Relief",17.99,Paid,Unfullfilled,"2022-02-04 17:48:19"
336,"Talal Rasool",aliahmed@gmail.com,032249865,"Islamic Relief",136.5,Paid,Unfullfilled,"2022-02-04 12:18:13"
335,"Talal Rasool",aliahmed@gmail.com,032249865,"Islamic Relief",69.98,Paid,Unfullfilled,"2022-02-04 11:42:36"
334,"Talal Rasool",aliahmed@gmail.com,032249865,"Islamic Relief",32.48,Paid,Unfullfilled,"2022-02-04 11:38:14"
333,"Talal Rasool",aliahmed@gmail.com,032249865,"Islamic Relief",32.48,Paid,Unfullfilled,"2022-02-04 11:37:26"
332,"talal ghauri",alihaider@gmail.com,03224928579,"Islamic Relief",78.98,Paid,Unfullfilled,"2022-01-27 12:58:11"
331,"talal ghauri",alihaider@gmail.com,03224928579,"Islamic Relief",89.93,Paid,Completed,"2022-01-26 17:56:01"
